Designator,Footprint,Quantity,Value,LCSC Part #
BT1,CR2032-BS-6-1,1,ML2032,
"C1, C2, C5, C6, C9",0603,5,4.7uF,C19666
"C10, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C27, C31, C33, C34, C36, C38, C41, C43, C44, C46, C7, C8",0603,24,100n,C14663
C11,0603,1,4n7,C53987
"C21, C37, C42, C45",0603,4,10uF,C96446
"C24, C26",0603,2,10n, C57112
C25,0603,1,2.2nF,C1604
C28,0603,1,150n,C513735
C29,0603,1,12n,C107074
"C3, C4",0603,2,15p,C1644
"C30, C32, C35",CP_Elec_8x10,3,470uF,C48970894
"C39, C40",0805,2,22uF,C45783
"D1, D6",D_SOD-123,2,B5819W,C8598
D2,0603,1,ACT,C2286
"D3, D4, D5",0603,3,CG0603MLC-05LE,C2655331
"FB1, FB5",0603,2,BLM18HG601SN1D, C85830
"FB2, FB3, FB4",0603,3,BLM18PG331SN1D,C79913
J1,12402012E212A,1,12402012E212A, C5150972
J2,PinHeader_2x04_P2.54mm_Vertical,1,I2S,C5156676
J3,PinHeader_2x06_P2.54mm_Vertical,1,FRONT, C5224012
J4,RF1-01A-D-00-75-M,1,VIDEO1,C5454776
J5,RF1-01A-D-00-75-M,1,VIDEO2,C5454776
J6,RF1-01A-D-00-75-M,1,VIDEO3,C5454776
J7,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,C16214
L1,0806,1,3.3uH,C42411119
L2,FIL_ACM2012-900-2P-T002,1,ACM2012-201-2P-T001,C383338
"L3, L4",1008,2,2.2uH,C576403
"R1, R16, R18, R25",0603,4,10k,C25804
"R10, R9",0603,2,5k1, C23186
"R11, R12, R13",0603,3,5k1,C23162
R14,0603,1,4k12, C863836
R15,0603,1,300,C23025
R17,0603,1,150,C22808
R19,0603,1,20, C22950
R2,0603,1,33,C23140
"R20, R21, R22",0603,3,75,C4275
R23,0603,1,1M1, C2930138
R24,0603,1,210k,C22952
"R3, R4",0603,2,1k,C21190
"R5, R6",0603,2,27.4, C177713
R7,0603,1,1M, C22935
R8,0603,1,2k2,C4190
SW1,SW_SPST_B3U-1000P,1,BOOT, C231329
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U2,SOT-666,1,USBLC6-2P6, C15999
U3,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,C42411118
U4,LFCSP-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ADV7391BCPZ,C662283
U5,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,C3304278
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,THS7314,C882751
U7,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62160DSG,C324077
U8,SOT-23-5,1,TPS7A2033PDBVR,C2862740
U9,SOT-23-5,1,TPS7A2018PDBVR,C963430
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
