Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.24,-99.8,90.0,top
C1,174.788,-115.328624,270.0,top
C10,161.481,-117.094,180.0,top
C11,196.99,-59.817,180.0,top
C12,161.478,-111.874624,180.0,top
C13,165.644,-106.679624,90.0,top
C14,170.724,-107.213624,90.0,top
C15,175.296,-111.010624,90.0,top
C16,166.123,-120.396,270.0,top
C17,175.514,-93.231,90.0,top
C18,163.068,-95.758,180.0,top
C19,165.608,-100.825,270.0,top
C2,178.407,-108.724624,0.0,top
C20,168.529,-100.838,270.0,top
C21,183.515,-89.167,270.0,top
C22,172.974,-84.582,0.0,top
C23,168.402,-90.741,90.0,top
C24,172.955,-83.051,0.0,top
C25,172.974,-87.63,0.0,top
C26,164.846,-90.741,270.0,top
C27,169.145,-88.385,0.0,top
C28,169.672,-85.357,90.0,top
C29,172.974,-93.98,0.0,top
C3,157.975,-111.874624,0.0,top
C30,172.974,-92.456,180.0,top
C31,154.686,-73.914,270.0,top
C32,149.098,-73.419,90.0,top
C33,165.862,-73.914,270.0,top
C34,160.274,-73.419,90.0,top
C35,183.515,-84.061,90.0,top
C36,177.038,-73.914,270.0,top
C37,171.45,-73.419,90.0,top
C38,213.741,-72.644,0.0,top
C39,210.693,-72.644,180.0,top
C4,157.975,-117.856,180.0,top
C40,209.169,-78.486,90.0,top
C41,212.156,-82.169,0.0,top
C42,211.963,-83.947,0.0,top
C43,211.963,-86.487,0.0,top
C44,211.963,-88.011,0.0,top
C45,211.963,-90.551,0.0,top
C46,211.95,-92.202,0.0,top
C47,211.976,-93.853,0.0,top
C5,173.264,-115.328624,270.0,top
C6,174.026,-118.376624,0.0,top
C7,168.184,-106.679624,90.0,top
C8,167.64,-120.396,270.0,top
C9,161.481,-115.57,180.0,top
D1,204.978,-68.579,90.0,top
D2,165.354,-122.809,180.0,top
D3,142.7675,-67.056,0.0,top
D4,163.8045,-67.056,0.0,top
D5,184.8865,-67.056,0.0,top
D6,214.249,-68.579,90.0,top
FB1,172.974,-86.113,180.0,top
FB2,145.79,-67.056,180.0,top
FB3,166.8525,-67.056,180.0,top
FB4,187.96,-67.056,180.0,top
FB5,208.407,-88.011,180.0,top
FID1,132.08,-54.61,0.0,top
FID2,132.08,-123.19,0.0,top
FID3,224.795,-123.195,0.0,top
J1,200.66,-53.086,180.0,top
J2,160.274,-104.648,0.0,top
J3,165.608,-129.413,270.0,top
J4,144.272,-60.07,0.0,top
J5,165.334,-60.07,0.0,top
J6,186.39,-60.07,0.0,top
J7,212.514,-61.239,180.0,top
L1,176.693,-115.316,270.0,top
L2,200.806,-67.854,270.0,top
L3,212.285,-78.105,180.0,top
L4,206.502,-78.613,90.0,top
R1,188.214,-104.394,180.0,top
R10,204.343,-61.341,0.0,top
R11,177.292,-93.218,90.0,top
R12,178.689,-86.36,90.0,top
R13,181.165,-91.186,0.0,top
R14,163.068,-90.741,90.0,top
R15,166.624,-90.741,90.0,top
R16,181.165,-84.836,180.0,top
R17,172.974,-90.932,180.0,top
R18,181.165,-83.312,180.0,top
R19,172.974,-89.408,180.0,top
R2,170.978,-118.376624,0.0,top
R20,149.098,-76.454,270.0,top
R21,171.45,-76.517,90.0,top
R22,160.274,-76.454,270.0,top
R23,207.772,-75.057,90.0,top
R24,209.423,-75.057,270.0,top
R25,211.836,-80.264,0.0,top
R3,161.481,-113.792,0.0,top
R4,184.912,-99.441,180.0,top
R5,178.407,-111.772624,180.0,top
R6,178.407,-110.248624,180.0,top
R7,204.343,-59.817,0.0,top
R8,164.592,-120.396,270.0,top
R9,196.99,-61.341,180.0,top
SW1,188.214,-101.092,0.0,top
U1,179.614,-104.914624,90.0,top
U2,200.787,-64.008,270.0,top
U3,167.824,-113.074624,0.0,top
U4,167.968667,-95.728,90.0,top
U5,181.214,-87.71,0.0,top
U6,165.989,-83.247,0.0,top
U7,212.259,-75.057,270.0,top
U8,208.346,-85.0955,90.0,top
U9,208.346,-91.8155,90.0,top
Y1,157.9,-114.892,90.0,top
